,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,188.080,49.859,411.246,112.671,101.294,155.372,525.321,459.262,598.185,564.377,584.687,232.063,376.325,466.112
Pasto,188.080,0,216.822,414.301,274.214,266.003,329.083,611.767,623.321,704.628,729.470,758.333,404.708,538.868,618.503
Tulua,40.759,216.822,0,270.832,61.310,70.082,114.362,481.895,394.649,537.673,534.719,675.927,188.387,462.963,430.649
Bogota,408.946,414.301,198.732,0,204.087,156.669,151.839,394.635,439.354,464.499,472.316,476.217,241.785,217.807,243.904
Pereira,117.771,272.414,63.710,193.487,0,33.400,60.453,420.902,365.341,499.715,487.010,526.385,138.245,275.754,366.191
Armenia,98.194,264.603,53.482,156.669,33.400,0,76.302,350.007,387.474,482.194,489.407,511.845,171.394,275.714,365.900
Manizales,162.972,320.283,123.662,151.839,60.453,93.602,0,373.534,344.168,480.958,461.287,464.016,105.239,230.552,321.239
Valledupar,536.572,709.614,482.043,398.735,410.901,417.566,368.283,0,243.789,157.142,219.699,204.858,348.525,212.247,214.465
Monteria,447.011,611.220,382.649,446.257,361.045,391.395,330.173,183.877,0,162.825,161.260,183.796,205.766,253.359,254.575
Soledad,621.936,775.178,526.584,465.315,482.788,519.446,464.235,186.659,193.035,0,129.693,13.722,320.524,276.429,292.645
Cartagena,565.530,727.322,466.398,484.358,487.443,508.486,505.034,200.222,149.985,71.697,0,100.608,481.903,253.751,273.382
Barranquilla,611.188,773.230,507.146,478.619,500.978,432.450,467.315,195.060,210.965,13.772,100.858,0,345.027,794.148,289.865
Medellin,208.112,370.157,228.979,264.102,176.486,211.764,161.708,376.105,273.977,419.272,431.021,381.574,0,194.909,281.779
Bucaramanga,380.374,542.416,358.393,235.840,309.672,282.934,261.203,214.486,335.924,340.879,341.729,314.980,212.326,0,81.122
Cucuta,466.909,628.951,482.998,359.317,443.455,390.394,412.455,224.930,386.952,335.661,391.852,319.364,277.196,107.838,0
